Date,Usage (kWh),Cost ($),Hi,Low
2020-09-14 00:00:00,2.1,0.25,89,79
2020-09-14 01:00:00,1.8,0.22,89,79
2020-09-14 02:00:00,1.7,0.2,89,79
2020-09-14 03:00:00,1.5,0.18,89,79
2020-09-14 04:00:00,1.4,0.17,89,79
2020-09-14 05:00:00,1.4,0.17,89,79
2020-09-14 06:00:00,1.3,0.15,89,79
2020-09-14 07:00:00,1.2,0.15,89,79
2020-09-14 08:00:00,1.3,0.15,89,79
2020-09-14 09:00:00,2.5,0.3,89,79
2020-09-14 10:00:00,2.1,0.25,89,79
2020-09-14 11:00:00,2.2,0.27,89,79
2020-09-14 12:00:00,3.1,0.37,89,79
2020-09-14 13:00:00,3.0,0.36,89,79
2020-09-14 14:00:00,2.3,0.27,89,79
2020-09-14 15:00:00,2.3,0.28,89,79
2020-09-14 16:00:00,2.4,0.28,89,79
2020-09-14 17:00:00,2.3,0.28,89,79
2020-09-14 18:00:00,3.1,0.38,89,79
2020-09-14 19:00:00,2.9,0.35,89,79
2020-09-14 20:00:00,3.7,0.45,89,79
2020-09-14 21:00:00,2.3,0.27,89,79
2020-09-14 22:00:00,2.8,0.34,89,79
2020-09-14 23:00:00,2.1,0.26,89,79
2020-09-15 00:00:00,2.1,0.25,93,79
2020-09-15 01:00:00,1.9,0.23,93,79
2020-09-15 02:00:00,1.6,0.19,93,79
2020-09-15 03:00:00,1.5,0.18,93,79
2020-09-15 04:00:00,1.4,0.17,93,79
2020-09-15 05:00:00,1.4,0.17,93,79
2020-09-15 06:00:00,1.4,0.17,93,79
2020-09-15 07:00:00,1.3,0.16,93,79
2020-09-15 08:00:00,2.1,0.26,93,79
2020-09-15 09:00:00,2.1,0.25,93,79
2020-09-15 10:00:00,2.5,0.3,93,79
2020-09-15 11:00:00,2.6,0.32,93,79
2020-09-15 12:00:00,2.3,0.28,93,79
2020-09-15 13:00:00,2.7,0.33,93,79
2020-09-15 14:00:00,2.5,0.31,93,79
2020-09-15 15:00:00,2.7,0.33,93,79
2020-09-15 16:00:00,2.4,0.3,93,79
2020-09-15 17:00:00,2.3,0.28,93,79
2020-09-15 18:00:00,2.7,0.33,93,79
2020-09-15 19:00:00,2.2,0.26,93,79
2020-09-15 20:00:00,2.3,0.27,93,79
2020-09-15 21:00:00,2.1,0.25,93,79
2020-09-15 22:00:00,1.8,0.22,93,79
2020-09-15 23:00:00,2.0,0.24,93,79
